country,ID,TotalCases,TotalDeaths,TotalCases1M,TotalDeaths1M,TotalTests,TotalTests1M,Population,Continent,1CaseEvery,1DeathEvery,1TestEvery,AccessElectricity,GDP,GDPperCap,LifeExpect,DrsPer1k,NewInfecHIV,FertilityRate,UrbanPopulation,UrbanPopulationPerc,Latitude,Longitude
Algeria,66,56143.0,1914.0,1273.0,43.0,135630.5,13037.5,44099384.0,Africa,785.0,23040.0,76.5,100.0,173757952824.25,4114.71506136896,76.693,1.7193,1800.0,3.023,30670086.0,69.54765173137112,28.0000272,2.9999825
Libya,67,56013.0,795.0,8117.0,115.0,297762.0,43149.0,6900780.0,Africa,123.0,8680.0,23.0,67.0,52607888717.9487,7877.12225061884,72.724,0.1565,500.0,2.24,5349666.0,77.5226278768487,26.8234472,18.1236723
Jordan,69,53087.0,579.0,5187.0,57.0,1710076.0,167077.0,10235261.0,Asia,193.0,17677.0,6.0,99.9,42231295774.6479,4241.78878213854,74.405,0.9186,1050.0,2.761,9057879.0,88.49680530862867,31.1667049,36.941628
Tunisia,70,50981.0,925.0,4299.0,78.0,326974.0,27575.0,11857814.0,Africa,233.0,12819.0,36.0,99.8,39770297328.9509,3438.78908914627,76.505,0.1565,1000.0,2.197,7973630.0,67.2436757736291,33.8439408,9.400138
Azerbaijan,72,49959.0,671.0,4913.0,66.0,1291534.0,127017.0,10168199.0,Asia,204.0,15154.0,8.0,100.0,47112941176.4706,4739.84171028393,72.864,0.9186,1000.0,1.73,5534464.0,54.42914718722558,40.3936294,47.7872508
Kenya,73,49721.0,902.0,918.0,17.0,659920.0,12189.0,54140652.0,Africa,1089.0,60023.0,82.0,75.0,87778582964.1388,1707.98680529003,66.342,0.1565,33000.0,3.492,13891531.0,25.658226280688307,1.4419683,38.4313975
Ghana,74,47690.0,316.0,1525.0,10.0,518785.0,16588.0,31275543.0,Africa,656.0,98973.0,60.0,82.3945770263672,65556464048.1539,2202.31216442504,63.78,0.1565,16000.0,3.87,16687441.0,53.35619912338532,8.0300284,-1.0800271
Myanmar,75,44774.0,1095.0,821.0,20.0,605843.0,11111.0,54525986.0,Asia,1218.0,49795.0,90.0,66.2645721435547,76168043981.5932,1418.17762347196,66.867,0.677,9800.0,2.154,16423490.0,30.120482369635646,17.1750495,95.9999652
Bosnia and Herzegovina,77,40893.0,1086.0,12489.0,332.0,291987.0,89178.0,3274213.0,Europe,80.0,3015.0,11.0,100.0,20183498491.2492,6072.18099160639,77.262,3.4075,500.0,1.265,1603630.0,48.977571098764805,44.3053476,17.5961467
Afghanistan,78,40833.0,1514.0,1042.0,39.0,119994.0,3061.0,39201544.0,Asia,960.0,25893.0,327.0,98.7132034301758,19484384936.6312,524.162880925404,64.486,0.9186,1200.0,4.473,9477100.0,24.17532329849049,33.7680065,66.2385139
Denmark,79,40356.0,702.0,6959.0,121.0,4905817.0,846016.0,5798726.0,Europe,144.0,8260.0,1.0,100.0,355675329085.952,61390.6930097009,80.9536585365854,3.4075,500.0,1.73,5091100.0,87.796871243787,55.670249,10.3333283
Serbia,80,39486.0,792.0,4525.0,91.0,1283016.0,147034.0,8726008.0,Europe,221.0,11018.0,7.0,100.0,50597289146.7041,7246.19198607054,75.890243902439,3.4075,200.0,1.49,3916682.0,44.88515252335318,44.024322850000004,21.07657433209902
Bulgaria,81,37889.0,1094.0,5466.0,158.0,661859.0,95486.0,6931486.0,Europe,183.0,6336.0,10.0,100.0,66200847917.924,9423.5586115666,74.9634146341464,3.4075,500.0,1.56,5269340.0,76.02035119164924,42.6073975,25.4856617
Croatia,82,36380.0,437.0,8880.0,107.0,445568.0,108753.0,4097072.0,Europe,113.0,9375.0,9.0,100.0,60991399904.4434,14920.1913831924,78.0707317073171,3.4075,100.0,1.47,2327904.0,56.81872322478102,45.5643442,17.0118954
El Salvador,83,32752.0,949.0,5041.0,146.0,461080.0,70972.0,6496652.0,North America,198.0,6846.0,14.0,100.0,26117400000.0,4067.65944881154,73.096,1.9357,1000.0,2.039,4624412.0,71.18146392942087,13.8000382,-88.9140683
Greece,84,30782.0,574.0,2958.0,55.0,1666151.0,160105.0,10406599.0,Europe,338.0,18130.0,6.0,100.0,218138367444.99,20324.3050137875,81.7878048780488,3.4075,500.0,1.35,8485202.0,81.53674413706149,38.9953683,21.9877132
Georgia,85,28431.0,201.0,7131.0,50.0,800789.0,200865.0,3986701.0,Asia,140.0,19834.0,5.0,100.0,17599700090.762,4722.78778321766,73.6,7.1201,1050.0,2.06,2184950.0,54.80596613591037,32.3293809,-83.1137366
Australia,86,27520.0,905.0,1075.0,35.0,8535842.0,333516.0,25593512.0,Australia/Oceania,930.0,28280.0,3.0,100.0,1433904348500.12,57395.9194663167,82.7487804878049,1.82985,1000.0,1.74,21488110.0,83.95920809930267,-24.7761086,134.755
North Macedonia,87,26954.0,919.0,12938.0,441.0,235038.0,112817.0,2083347.0,Europe,77.0,2267.0,9.0,100.0,12628854800.9772,6062.94260420864,75.688,3.4075,500.0,1.496,1207345.0,57.95217983370029,41.6171214,21.7168387
Malaysia,88,26565.0,229.0,817.0,7.0,2006716.0,61751.0,32497011.0,Asia,1223.0,141908.0,16.0,100.0,358581943446.259,11373.2330025676,75.997,0.9186,5500.0,2.001,23973075.0,73.77009227094763,4.5693754,102.2656823
Slovenia,90,22950.0,240.0,11039.0,115.0,325421.0,156525.0,2079030.0,Europe,91.0,8663.0,6.0,100.0,54034358544.2622,26054.5421049784,81.3780487804878,3.4075,500.0,1.6,1131123.0,54.406285623584075,45.8133113,14.4808369
Cameroon,91,21570.0,425.0,806.0,16.0,149000.0,5570.0,26751063.0,Africa,1240.0,62944.0,180.0,62.6600723266602,38694095650.9763,1534.49127445052,58.921,0.1565,14000.0,4.572,14215401.0,53.13957430401925,4.6125522,13.1535811
Albania,93,19157.0,477.0,6659.0,166.0,112626.0,39150.0,2876786.0,Europe,150.0,6031.0,26.0,100.0,15147020535.3869,5284.38018438156,78.458,3.4075,100.0,1.617,1728969.0,60.10071656355391,41.000028,19.9999619
Norway,94,17909.0,279.0,3295.0,51.0,1528498.0,281247.0,5434724.0,Europe,303.0,19479.0,4.0,100.0,434166615431.909,81734.4655736102,82.7585365853659,2.9164,500.0,1.56,4368945.0,80.38945491988186,60.5000209,9.0999715
Madagascar,95,16968.0,244.0,608.0,9.0,87659.0,3141.0,27911817.0,Africa,1645.0,114393.0,318.0,25.9078121185303,13853433947.6241,527.501326141803,66.681,0.1565,4900.0,4.077,9767237.0,34.99319660916378,-18.9249604,46.4416422
Montenegro,96,16797.0,266.0,26743.0,424.0,85455.0,136055.0,628092.0,Europe,37.0,2361.0,7.0,100.0,5506766650.92111,8850.09273291116,76.77,2.7557,100.0,1.745,415729.0,66.18918884494629,42.9868853,19.5180992
Zambia,97,16117.0,348.0,869.0,19.0,229872.0,12397.0,18543101.0,Africa,1151.0,53285.0,81.0,39.8126220703125,27005238896.1666,1556.33448154128,63.51,1.1867,46000.0,4.633,7551686.0,40.72504377773707,-14.5186239,27.5599164
Senegal,98,15551.0,321.0,921.0,19.0,203318.0,12044.0,16880653.0,Africa,1086.0,52588.0,83.0,66.9594497680664,23236007428.2582,1465.59100640191,67.665,0.1565,1100.0,4.625,7481990.0,44.32287068515655,14.4750607,-14.4529612
Finland,99,14848.0,353.0,2678.0,64.0,1403061.0,253101.0,5543480.0,Europe,373.0,15704.0,4.0,100.0,275893681355.892,50021.2910567702,81.7341463414634,3.4075,500.0,1.41,4709266.0,84.95143844660754,63.2467777,25.9209164
Luxembourg,100,14204.0,145.0,22575.0,230.0,1005621.0,1598304.0,629180.0,Europe,44.0,4339.0,1.0,100.0,70919958015.5247,116654.26106674,82.2951219512195,3.4075,500.0,1.38,553119.0,87.91109062589402,49.8158683,6.1296751
Sudan,101,13742.0,837.0,311.0,19.0,135630.5,13037.5,44167913.0,Africa,3214.0,52769.0,76.5,59.7835350036621,26078607538.5703,623.867252394076,65.095,0.1565,2700.0,4.407,14480887.0,32.785988778777025,14.5844444,29.4917691
Namibia,102,12660.0,133.0,4954.0,52.0,122261.0,47845.0,2555336.0,Africa,202.0,19213.0,21.0,53.8738746643066,13454211124.4607,5495.42883582824,63.373,0.4182,6200.0,3.396,1224911.0,47.935418277674636,-23.2335499,17.3231107
Mozambique,103,11986.0,86.0,380.0,3.0,180557.0,5727.0,31526106.0,Africa,2630.0,366583.0,175.0,31.1,14717223206.9,498.957220208652,60.163,0.0838,110000.0,4.852,10615007.0,33.67053006800142,-19.302233,34.9144977
Guinea,104,11635.0,71.0,879.0,5.0,40998.0,3096.0,13243050.0,Africa,1138.0,186522.0,323.0,44.0,12207116729.0778,983.309492239346,61.185,0.1565,4100.0,4.7,4486535.0,33.87841169519106,10.7226226,-10.7083587
Maldives,105,11505.0,37.0,21167.0,68.0,150743.0,277340.0,543532.0,Asia,47.0,14690.0,4.0,100.0,5327457149.72581,10330.615614094,78.627,4.5627,1050.0,1.87,205288.0,37.769257375830676,4.7064352,73.3287853
Uganda,106,11443.0,101.0,248.0,2.0,536177.0,11609.0,46185124.0,Africa,4036.0,457278.0,86.0,42.65,32772824208.9499,767.097759575903,62.973,0.1565,47000.0,4.955,10156999.0,21.991927530604876,1.5333554,32.2166578
Tajikistan,108,10776.0,81.0,1122.0,8.0,1334724.5,73625.0,9604406.0,Asia,891.0,118573.0,14.0,99.3,7522947810.12326,826.621530538704,70.879,0.9186,1100.0,3.585,2469421.0,25.711334985214076,38.6281733,70.8156541
Lithuania,110,10183.0,134.0,3758.0,49.0,951701.0,351196.0,2709882.0,Europe,266.0,20223.0,3.0,100.0,53455170033.5194,19080.6173717553,75.6804878048781,6.3528,500.0,1.63,1896056.0,69.96821263804107,55.3500003,23.7499997
